"","month","year","t","norm_est","flow_est"
"1",1,799,1,NA,NA
"2",2,799,2,NA,NA
"3",3,799,3,NA,NA
"4",4,799,4,NA,NA
"5",5,799,5,NA,NA
"6",6,799,6,NA,NA
"7",7,799,7,NA,NA
"8",8,799,8,NA,NA
"9",9,799,9,NA,NA
"10",10,799,10,NA,NA
"11",11,799,11,NA,NA
"12",12,799,12,NA,NA
"13",1,800,13,NA,NA
"14",2,800,14,NA,NA
"15",3,800,15,NA,NA
"16",4,800,16,NA,NA
"17",5,800,17,NA,NA
"18",6,800,18,NA,NA
"19",7,800,19,NA,NA
"20",8,800,20,NA,NA
"21",9,800,21,NA,NA
"22",10,800,22,NA,NA
"23",11,800,23,NA,NA
"24",12,800,24,NA,NA
"25",1,801,25,NA,NA
"26",2,801,26,NA,NA
"27",3,801,27,-0.205986206334788,1.15642606792416
"28",4,801,28,NA,NA
"29",5,801,29,NA,NA
"30",6,801,30,NA,NA
"31",7,801,31,NA,NA
"32",8,801,32,NA,NA
"33",9,801,33,NA,NA
"34",10,801,34,NA,NA
"35",11,801,35,NA,NA
"36",12,801,36,NA,NA
"37",1,802,37,NA,NA
"38",2,802,38,NA,NA
"39",3,802,39,0.434812724866839,1.34781272174373
"40",4,802,40,NA,NA
"41",5,802,41,NA,NA
"42",6,802,42,NA,NA
"43",7,802,43,NA,NA
"44",8,802,44,NA,NA
"45",9,802,45,NA,NA
"46",10,802,46,NA,NA
"47",11,802,47,NA,NA
"48",12,802,48,NA,NA
"49",1,803,49,NA,NA
"50",2,803,50,NA,NA
"51",3,803,51,0.789753181103053,1.46233359378775
"52",4,803,52,NA,NA
"53",5,803,53,NA,NA
"54",6,803,54,NA,NA
"55",7,803,55,NA,NA
"56",8,803,56,NA,NA
"57",9,803,57,NA,NA
"58",10,803,58,NA,NA
"59",11,803,59,NA,NA
"60",12,803,60,NA,NA
"61",1,804,61,NA,NA
"62",2,804,62,NA,NA
"63",3,804,63,0.854087612366798,1.48375342131214
"64",4,804,64,NA,NA
"65",5,804,65,NA,NA
"66",6,804,66,NA,NA
"67",7,804,67,NA,NA
"68",8,804,68,NA,NA
"69",9,804,69,NA,NA
"70",10,804,70,NA,NA
"71",11,804,71,NA,NA
"72",12,804,72,NA,NA
"73",1,805,73,NA,NA
"74",2,805,74,NA,NA
"75",3,805,75,0.0987005333682176,1.24499291910917
"76",4,805,76,NA,NA
"77",5,805,77,NA,NA
"78",6,805,78,NA,NA
"79",7,805,79,NA,NA
"80",8,805,80,NA,NA
"81",9,805,81,NA,NA
"82",10,805,82,NA,NA
"83",11,805,83,NA,NA
"84",12,805,84,NA,NA
"85",1,806,85,NA,NA
"86",2,806,86,NA,NA
"87",3,806,87,0.312571835388804,1.30979050133557
"88",4,806,88,NA,NA
"89",5,806,89,NA,NA
"90",6,806,90,NA,NA
"91",7,806,91,NA,NA
"92",8,806,92,NA,NA
"93",9,806,93,NA,NA
"94",10,806,94,NA,NA
"95",11,806,95,NA,NA
"96",12,806,96,NA,NA
"97",1,807,97,NA,NA
"98",2,807,98,NA,NA
"99",3,807,99,0.280219535209928,1.29984801584062
"100",4,807,100,NA,NA
"101",5,807,101,NA,NA
"102",6,807,102,NA,NA
"103",7,807,103,NA,NA
"104",8,807,104,NA,NA
"105",9,807,105,NA,NA
"106",10,807,106,NA,NA
"107",11,807,107,NA,NA
"108",12,807,108,NA,NA
"109",1,808,109,NA,NA
"110",2,808,110,NA,NA
"111",3,808,111,0.0789098945462257,1.23910710567358
"112",4,808,112,NA,NA
"113",5,808,113,NA,NA
"114",6,808,114,NA,NA
"115",7,808,115,NA,NA
"116",8,808,116,NA,NA
"117",9,808,117,NA,NA
"118",10,808,118,NA,NA
"119",11,808,119,NA,NA
"120",12,808,120,NA,NA
"121",1,809,121,NA,NA
"122",2,809,122,NA,NA
"123",3,809,123,-0.152437786791449,1.17167579513109
"124",4,809,124,NA,NA
"125",5,809,125,NA,NA
"126",6,809,126,NA,NA
"127",7,809,127,NA,NA
"128",8,809,128,NA,NA
"129",9,809,129,NA,NA
"130",10,809,130,NA,NA
"131",11,809,131,NA,NA
"132",12,809,132,NA,NA
"133",1,810,133,NA,NA
"134",2,810,134,NA,NA
"135",3,810,135,-0.423516669719243,1.0958466691653
"136",4,810,136,NA,NA
