,month,year,t,norm_est,flow_est
1,1,1428,1,NA,NA
2,2,1428,2,NA,NA
3,3,1428,3,NA,NA
4,4,1428,4,0.605732508,5.925713999
5,5,1428,5,NA,NA
6,6,1428,6,NA,NA
7,7,1428,7,NA,NA
8,8,1428,8,NA,NA
9,9,1428,9,NA,NA
10,10,1428,10,NA,NA
11,11,1428,11,NA,NA
12,12,1428,12,NA,NA
13,1,1429,13,NA,NA
14,2,1429,14,NA,NA
15,3,1429,15,NA,NA
16,4,1429,16,-0.152688659,4.320257799
17,5,1429,17,0.027581384,18.38452092
18,6,1429,18,NA,NA
19,7,1429,19,NA,NA
20,8,1429,20,NA,NA
21,9,1429,21,NA,NA
22,10,1429,22,-0.508578335,1.70931441
23,11,1429,23,-0.430483229,1.639132559
24,12,1429,24,-0.221960474,1.516779236
25,1,1430,25,0.410179759,1.630153591
26,2,1430,26,0.319782266,1.592517942
27,3,1430,27,0.509077062,2.027059605
28,4,1430,28,0.270516201,5.174523863
29,5,1430,29,-0.084944298,17.69660318
30,6,1430,30,1.000303935,35.00559299
31,7,1430,31,0.811251419,9.304565433
32,8,1430,32,0.61504814,3.721436809
33,9,1430,33,0.746709988,2.925062903
34,10,1430,34,-0.151307626,1.934209154
35,11,1430,35,-0.125001508,1.770229876
36,12,1430,36,-0.109194841,1.557768473
37,1,1431,37,0.172074099,1.557556993
38,2,1431,38,0.301223874,1.58742619
39,3,1431,39,0.235896137,1.890019219
40,4,1431,40,0.121393831,4.861726111
41,5,1431,41,0.25837612,19.85087042
42,6,1431,42,0.489348927,27.28757234
43,7,1431,43,0.461039595,7.744883613
44,8,1431,44,0.320010089,3.36786827
45,9,1431,45,0.384198636,2.582957623
46,10,1431,46,-0.01411093,2.025606115
47,11,1431,47,0.222793396,1.927822384
48,12,1431,48,0.627278394,1.843757735
49,1,1432,49,0.734762346,1.732679104
50,2,1432,50,0.571490141,1.662651104
51,3,1432,51,0.263712969,1.903683453
52,4,1432,52,0.234128428,5.096998213
53,5,1432,53,-0.307487254,16.38739829
54,6,1432,54,-0.289281124,17.83531633
55,7,1432,55,-0.517895364,4.327981971
56,8,1432,56,-0.542815582,2.463778711
57,9,1432,57,-0.284614044,2.023537165
58,10,1432,58,-0.433443034,1.755057333
59,11,1432,59,-0.098129035,1.78208766
60,12,1432,60,-0.309790322,1.48535968
61,1,1433,61,0.37208258,1.618390237
62,2,1433,62,0.206940341,1.561725248
63,3,1433,63,-0.161877801,1.701714893
64,4,1433,64,-0.989574093,2.922198996
65,5,1433,65,0.127485752,19.01006374
66,6,1433,66,0.542228563,28.02875949
67,7,1433,67,0.181815335,6.632818498
68,8,1433,68,0.241113809,3.277243861
69,9,1433,69,0.20680245,2.425650431
70,10,1433,70,-0.828192673,1.523777475
71,11,1433,71,-0.86739338,1.463253131
72,12,1433,72,-0.454127552,1.434680778
73,1,1434,73,0.540632153,1.670862646
74,2,1434,74,0.430336672,1.623074905
75,3,1434,75,0.087773538,1.818355688
76,4,1434,76,-1.118546784,2.739123376
77,5,1434,77,-0.609090684,14.71974738
78,6,1434,78,0.678389805,29.99772259
79,7,1434,79,0.173092676,6.599906899
80,8,1434,80,-0.018677489,2.990330372
81,9,1434,81,-0.097328968,2.171041052
82,10,1434,82,-0.6800649,1.60795947
83,11,1434,83,-0.711647422,1.52440132
84,12,1434,84,-0.542463943,1.404246499
85,1,1435,85,-0.110355646,1.474276605
86,2,1435,86,-0.128048631,1.472653372
87,3,1435,87,-0.073407719,1.742458491
88,4,1435,88,-0.324225665,4.002936315
89,5,1435,89,-0.459426332,15.53212151
90,6,1435,90,0.338579782,25.24549554
91,7,1435,91,0.142167688,6.484102691
92,8,1435,92,0.019192899,3.031065915
93,9,1435,93,0.078337515,2.31580083
94,10,1435,94,0.180414854,2.160079875
95,11,1435,95,0.353832086,1.989538307
96,12,1435,96,0.550417976,1.81240693
97,1,1436,97,0.588650126,1.686014908
98,2,1436,98,0.884166219,1.752579161
99,3,1436,99,0.295464101,1.919360304
100,4,1436,100,-0.792997637,3.217365756
101,5,1436,101,0.117767097,18.94859711
102,6,1436,102,0.359752186,25.52594833
103,7,1436,103,0.009957957,6.004359695
104,8,1436,104,-0.091095626,2.913457513
105,9,1436,105,-0.45191447,1.897630862
106,10,1436,106,-0.305668624,1.834737956
107,11,1436,107,0.336403361,1.9812553
108,12,1436,108,-0.031595805,1.586401432
109,1,1437,109,0.162666483,1.554733706
110,2,1437,110,-0.349711387,1.415621061
111,3,1437,111,-0.944012776,1.36905705
112,4,1437,112,-1.680642346,2.034543871
113,5,1437,113,-1.20933726,11.75274534
114,6,1437,114,-0.244404109,18.30840654
115,7,1437,115,-0.928230404,3.272588268
116,8,1437,116,-0.857441655,2.180106248
117,9,1437,117,-1.112362734,1.452655706
118,10,1437,118,-1.464865713,1.196306253
119,11,1437,119,-1.00537118,1.410493856
120,12,1437,120,-1.143524096,1.208684636
121,1,1438,121,-0.961655207,1.241415324
122,2,1438,122,-1.140940536,1.224172904
123,3,1438,123,-1.007826407,1.344049045
124,4,1438,124,-0.748655724,3.286689348
125,5,1438,125,-1.352100344,11.1134784
126,6,1438,126,-0.067913714,20.25171551
127,7,1438,127,-0.762455471,3.6741954
128,8,1438,128,-0.871626199,2.167872681
129,9,1438,129,-1.028285662,1.504817566
130,10,1438,130,-2.259039593,0.861207842
131,11,1438,131,-2.120018509,1.031215015
132,12,1438,132,-2.024115826,0.95712392
133,1,1439,133,-1.16852239,1.188852473
134,2,1439,134,-1.536699785,1.135361414
135,3,1439,135,-1.658222955,1.106789495
136,4,1439,136,-0.932289368,3.006184075
137,5,1439,137,-1.047683744,12.50689523
138,6,1439,138,-0.643526482,14.39104204
139,7,1439,139,-0.751542118,3.701792304
140,8,1439,140,-1.023353284,2.039957932
141,9,1439,141,-0.923330996,1.57173339
142,10,1439,142,-0.63899023,1.631852749
143,11,1439,143,-1.218700028,1.331502179
144,12,1439,144,-1.039736659,1.241037232
145,1,1440,145,-0.637814647,1.326827929
146,2,1440,146,-0.340245673,1.41802574
147,3,1440,147,-0.133417168,1.714751596
148,4,1440,148,-0.560295051,3.592655946
149,5,1440,149,1.58579405,29.79414992
150,6,1440,150,1.025292946,35.41542111
151,7,1440,151,1.081131886,10.63609806
152,8,1440,152,0.832169945,3.9966529
