"Month","Year","Observed","Annual_Recon","Monthly_Recon"
10,1428,NA,6.132556056,NA
11,1428,NA,6.132556056,NA
12,1428,NA,6.132556056,NA
1,1429,NA,6.132556056,NA
2,1429,NA,6.132556056,NA
3,1429,NA,6.132556056,NA
4,1429,NA,6.132556056,NA
5,1429,NA,6.132556056,NA
6,1429,NA,6.132556056,NA
7,1429,NA,6.132556056,NA
8,1429,NA,6.132556056,NA
9,1429,NA,6.132556056,NA
10,1429,NA,6.413857134,2.05932625920844
11,1429,NA,6.413857134,1.86778558527889
12,1429,NA,6.413857134,1.63966307756413
1,1430,NA,6.413857134,1.61893264927721
2,1430,NA,6.413857134,1.60482529886904
3,1430,NA,6.413857134,1.8597474555056
4,1430,NA,6.413857134,4.52810237214533
5,1430,NA,6.413857134,16.8536380927981
6,1430,NA,6.413857134,27.9294939223719
7,1430,NA,6.413857134,7.48401229002012
8,1430,NA,6.413857134,3.30990303335544
9,1430,NA,6.413857134,2.53539437528081
10,1430,NA,6.948736947,2.29835662550562
11,1430,NA,6.948736947,2.04693945159564
12,1430,NA,6.948736947,1.79038711756535
1,1431,NA,6.948736947,1.57449059077032
2,1431,NA,6.948736947,1.58277162432857
3,1431,NA,6.948736947,1.86279102723488
4,1431,NA,6.948736947,4.57401501325446
5,1431,NA,6.948736947,19.6421111459749
6,1431,NA,6.948736947,30.2997500498996
7,1431,NA,6.948736947,8.46761337234694
8,1431,NA,6.948736947,3.55002733424141
9,1431,NA,6.948736947,2.55920491959342
10,1431,NA,5.979729207,2.24092076611925
11,1431,NA,5.979729207,1.95970195108888
12,1431,NA,5.979729207,1.63760120789235
1,1432,NA,5.979729207,1.64871748494566
2,1432,NA,5.979729207,1.63560133693741
3,1432,NA,5.979729207,1.82778518957617
4,1432,NA,5.979729207,4.62647272320726
5,1432,NA,5.979729207,16.9021018915574
6,1432,NA,5.979729207,23.2370978372143
7,1432,NA,5.979729207,5.83507610710622
8,1432,NA,5.979729207,2.74203826633566
9,1432,NA,5.979729207,2.08172890267711
10,1432,NA,5.83754955,2.08112233469163
11,1432,NA,5.83754955,1.87408869401163
12,1432,NA,5.83754955,1.60781055358259
1,1433,NA,5.83754955,1.55870009666732
2,1433,NA,5.83754955,1.55165525655885
3,1433,NA,5.83754955,1.67515086930476
4,1433,NA,5.83754955,3.96876112448444
5,1433,NA,5.83754955,17.0254699303905
6,1433,NA,5.83754955,22.7121166418307
7,1433,NA,5.83754955,6.41746259763975
8,1433,NA,5.83754955,3.01570323377927
9,1433,NA,5.83754955,2.21292808300012
10,1433,NA,6.096310296,2.06929904076005
11,1433,NA,6.096310296,1.86114187443616
12,1433,NA,6.096310296,1.63002523887075
1,1434,NA,6.096310296,1.60956562335144
2,1434,NA,6.096310296,1.61264908002946
3,1434,NA,6.096310296,1.74359364717308
4,1434,NA,6.096310296,4.01482820044961
5,1434,NA,6.096310296,15.4928130323897
6,1434,NA,6.096310296,25.6552852151545
7,1434,NA,6.096310296,6.84370082523176
8,1434,NA,6.096310296,2.90284840578779
9,1434,NA,6.096310296,2.10460214159889
10,1434,NA,6.168490329,2.06640291610468
11,1434,NA,6.168490329,1.90205945322201
