"month","year","logan2013","bear2015","weber2014"
1,799,NA,NA,NA
2,799,NA,NA,NA
3,799,NA,NA,NA
4,799,NA,NA,NA
5,799,NA,NA,NA
6,799,NA,NA,NA
7,799,NA,NA,NA
8,799,NA,NA,NA
9,799,NA,NA,NA
10,799,NA,4.146,NA
11,799,NA,4.146,NA
12,799,NA,4.146,NA
1,800,NA,4.146,NA
2,800,NA,4.146,NA
3,800,NA,4.146,NA
4,800,NA,4.146,NA
5,800,NA,4.146,NA
6,800,NA,4.146,NA
7,800,NA,4.146,NA
8,800,NA,4.146,NA
9,800,NA,4.146,NA
10,800,NA,5.217,NA
11,800,NA,5.217,NA
12,800,NA,5.217,NA
1,801,NA,5.217,NA
2,801,NA,5.217,NA
3,801,NA,5.217,NA
4,801,NA,5.217,NA
5,801,NA,5.217,NA
6,801,NA,5.217,NA
7,801,NA,5.217,NA
8,801,NA,5.217,NA
9,801,NA,5.217,NA
10,801,NA,5.746,NA
11,801,NA,5.746,NA
12,801,NA,5.746,NA
1,802,NA,5.746,NA
2,802,NA,5.746,NA
3,802,NA,5.746,NA
4,802,NA,5.746,NA
5,802,NA,5.746,NA
6,802,NA,5.746,NA
7,802,NA,5.746,NA
8,802,NA,5.746,NA
9,802,NA,5.746,NA
10,802,NA,6.093,NA
11,802,NA,6.093,NA
12,802,NA,6.093,NA
1,803,NA,6.093,NA
2,803,NA,6.093,NA
3,803,NA,6.093,NA
4,803,NA,6.093,NA
5,803,NA,6.093,NA
6,803,NA,6.093,NA
7,803,NA,6.093,NA
8,803,NA,6.093,NA
9,803,NA,6.093,NA
10,803,NA,6.004,NA
11,803,NA,6.004,NA
12,803,NA,6.004,NA
1,804,NA,6.004,NA
2,804,NA,6.004,NA
3,804,NA,6.004,NA
4,804,NA,6.004,NA
5,804,NA,6.004,NA
6,804,NA,6.004,NA
7,804,NA,6.004,NA
8,804,NA,6.004,NA
9,804,NA,6.004,NA
10,804,NA,4.661,NA
11,804,NA,4.661,NA
12,804,NA,4.661,NA
1,805,NA,4.661,NA
2,805,NA,4.661,NA
3,805,NA,4.661,NA
4,805,NA,4.661,NA
5,805,NA,4.661,NA
6,805,NA,4.661,NA
7,805,NA,4.661,NA
8,805,NA,4.661,NA
9,805,NA,4.661,NA
10,805,NA,5.868,NA
11,805,NA,5.868,NA
12,805,NA,5.868,NA
1,806,NA,5.868,NA
2,806,NA,5.868,NA
3,806,NA,5.868,NA
4,806,NA,5.868,NA
5,806,NA,5.868,NA
6,806,NA,5.868,NA
7,806,NA,5.868,NA
8,806,NA,5.868,NA
9,806,NA,5.868,NA
10,806,NA,5.069,NA
11,806,NA,5.069,NA
12,806,NA,5.069,NA
1,807,NA,5.069,NA
2,807,NA,5.069,NA
3,807,NA,5.069,NA
4,807,NA,5.069,NA
5,807,NA,5.069,NA
6,807,NA,5.069,NA
7,807,NA,5.069,NA
8,807,NA,5.069,NA
9,807,NA,5.069,NA
10,807,NA,5.182,NA
11,807,NA,5.182,NA
12,807,NA,5.182,NA
1,808,NA,5.182,NA
2,808,NA,5.182,NA
3,808,NA,5.182,NA
4,808,NA,5.182,NA
5,808,NA,5.182,NA
6,808,NA,5.182,NA
7,808,NA,5.182,NA
8,808,NA,5.182,NA
9,808,NA,5.182,NA
10,808,NA,4.693,NA
11,808,NA,4.693,NA
12,808,NA,4.693,NA
1,809,NA,4.693,NA
2,809,NA,4.693,NA
3,809,NA,4.693,NA
4,809,NA,4.693,NA
5,809,NA,4.693,NA
6,809,NA,4.693,NA
7,809,NA,4.693,NA
8,809,NA,4.693,NA
9,809,NA,4.693,NA
10,809,NA,4.496,NA
11,809,NA,4.496,NA
12,809,NA,4.496,NA
1,810,NA,4.496,NA
2,810,NA,4.496,NA
3,810,NA,4.496,NA
4,810,NA,4.496,NA
5,810,NA,4.496,NA
6,810,NA,4.496,NA
7,810,NA,4.496,NA
8,810,NA,4.496,NA
9,810,NA,4.496,NA
10,810,NA,4.323,NA
11,810,NA,4.323,NA
12,810,NA,4.323,NA
1,811,NA,4.323,NA
2,811,NA,4.323,NA
3,811,NA,4.323,NA
4,811,NA,4.323,NA
5,811,NA,4.323,NA
6,811,NA,4.323,NA
7,811,NA,4.323,NA
8,811,NA,4.323,NA
9,811,NA,4.323,NA
10,811,NA,4.012,NA
11,811,NA,4.012,NA
12,811,NA,4.012,NA
1,812,NA,4.012,NA
2,812,NA,4.012,NA
3,812,NA,4.012,NA
4,812,NA,4.012,NA
5,812,NA,4.012,NA
6,812,NA,4.012,NA
7,812,NA,4.012,NA
8,812,NA,4.012,NA
9,812,NA,4.012,NA
10,812,NA,5.022,NA
11,812,NA,5.022,NA
12,812,NA,5.022,NA
1,813,NA,5.022,NA
2,813,NA,5.022,NA
3,813,NA,5.022,NA
4,813,NA,5.022,NA
5,813,NA,5.022,NA
6,813,NA,5.022,NA
7,813,NA,5.022,NA
8,813,NA,5.022,NA
9,813,NA,5.022,NA
10,813,NA,4.163,NA
11,813,NA,4.163,NA
12,813,NA,4.163,NA
1,814,NA,4.163,NA
2,814,NA,4.163,NA
3,814,NA,4.163,NA
4,814,NA,4.163,NA
5,814,NA,4.163,NA
6,814,NA,4.163,NA
7,814,NA,4.163,NA
8,814,NA,4.163,NA
9,814,NA,4.163,NA
10,814,NA,4.42,NA
11,814,NA,4.42,NA
12,814,NA,4.42,NA
1,815,NA,4.42,NA
2,815,NA,4.42,NA
3,815,NA,4.42,NA
4,815,NA,4.42,NA
5,815,NA,4.42,NA
6,815,NA,4.42,NA
7,815,NA,4.42,NA
8,815,NA,4.42,NA
9,815,NA,4.42,NA
10,815,NA,6.155,NA
11,815,NA,6.155,NA
12,815,NA,6.155,NA
1,816,NA,6.155,NA
2,816,NA,6.155,NA
3,816,NA,6.155,NA
4,816,NA,6.155,NA
5,816,NA,6.155,NA
6,816,NA,6.155,NA
7,816,NA,6.155,NA
8,816,NA,6.155,NA
9,816,NA,6.155,NA
10,816,NA,4.431,NA
11,816,NA,4.431,NA
12,816,NA,4.431,NA
1,817,NA,4.431,NA
2,817,NA,4.431,NA
3,817,NA,4.431,NA
4,817,NA,4.431,NA
5,817,NA,4.431,NA
6,817,NA,4.431,NA
7,817,NA,4.431,NA
8,817,NA,4.431,NA
9,817,NA,4.431,NA
10,817,NA,3.681,NA
