"Year","Month","Observed","Annual_Recon"
1660,1,NA,NA
1661,1,NA,NA
1662,1,NA,NA
1663,1,NA,NA
1664,1,NA,NA
1665,1,NA,NA
1666,1,NA,NA
1667,1,NA,NA
1668,1,NA,NA
1669,1,NA,NA
1670,1,NA,NA
1671,1,NA,NA
1672,1,NA,NA
1673,1,NA,NA
1674,1,NA,NA
1675,1,NA,NA
1676,1,NA,NA
1677,1,NA,NA
1678,1,NA,NA
1679,1,NA,NA
1680,1,NA,36.834
1681,1,NA,46.045
1682,1,NA,10.085
1683,1,NA,19.336
1684,1,NA,53.412
1685,1,NA,59.184
1686,1,NA,62.956
1687,1,NA,69.114
1688,1,NA,108.578
1689,1,NA,124.529
1690,1,NA,133.45
1691,1,NA,110.294
1692,1,NA,138.877
1693,1,NA,72.216
1694,1,NA,1.324
1695,1,NA,85.89
1696,1,NA,69.271
1697,1,NA,66.303
1698,1,NA,61.466
1699,1,NA,75.084
1700,1,NA,70.777
1701,1,NA,66.246
1702,1,NA,89.001
1703,1,NA,111.387
1704,1,NA,101.014
1705,1,NA,130.987
1706,1,NA,132.962
1707,1,NA,74.892
1708,1,NA,55.372
1709,1,NA,86.955
1710,1,NA,87.822
1711,1,NA,89.801
1712,1,NA,75.497
1713,1,NA,15.173
1714,1,NA,59.264
1715,1,NA,76.208
1716,1,NA,119.41
1717,1,NA,103.112
1718,1,NA,53.384
1719,1,NA,134.968
1720,1,NA,151.153
1721,1,NA,62.404
1722,1,NA,39.723
1723,1,NA,12.694
1724,1,NA,78.571
1725,1,NA,97.231
1726,1,NA,62.633
1727,1,NA,128.264
1728,1,NA,103.137
1729,1,NA,83.429
1730,1,NA,63.287
1731,1,NA,-2.604
1732,1,NA,26.544
1733,1,NA,101.905
1734,1,NA,44.538
1735,1,NA,69.136
1736,1,NA,5.45
1737,1,NA,-4.798
1738,1,NA,36.349
1739,1,NA,60.281
1740,1,NA,98.635
1741,1,NA,95.204
1742,1,NA,117.284
1743,1,NA,125.959
1744,1,NA,57.926
1745,1,NA,170.517
1746,1,NA,53.746
1747,1,NA,115.811
1748,1,NA,5.922
1749,1,NA,93.788
1750,1,NA,89.905
1751,1,NA,123.633
1752,1,NA,120.498
1753,1,NA,120.258
1754,1,NA,84.568
1755,1,NA,124.788
1756,1,NA,57.335
1757,1,NA,80.047
1758,1,NA,50.316
1759,1,NA,93.767
1760,1,NA,62.004
1761,1,NA,81.58
1762,1,NA,143.914
1763,1,NA,134.593
1764,1,NA,122.97
1765,1,NA,154.559
1766,1,NA,52.864
1767,1,NA,78.668
1768,1,NA,47.583
1769,1,NA,124.156
1770,1,NA,104.049
1771,1,NA,49.189
1772,1,NA,108.72
1773,1,NA,87.038
1774,1,NA,89.386
1775,1,NA,43.019
1776,1,NA,33.753
1777,1,NA,6.624
1778,1,NA,64.858
1779,1,NA,99.476
1780,1,NA,69.997
1781,1,NA,58.098
1782,1,NA,114.378
1783,1,NA,65.656
1784,1,NA,69.717
1785,1,NA,116.7
1786,1,NA,92.943
1787,1,NA,108.177
1788,1,NA,154.997
1789,1,NA,146.136
1790,1,NA,119.821
1791,1,NA,63.075
1792,1,NA,101.404
1793,1,NA,62.597
1794,1,NA,20.514
1795,1,NA,167.747
1796,1,NA,135.27
1797,1,NA,99.344
1798,1,NA,95.869
1799,1,NA,131.32
1800,1,NA,79.169
1801,1,NA,124.382
1802,1,NA,84.607
1803,1,NA,101.49
1804,1,NA,91.953
1805,1,NA,88.979
1806,1,NA,89.619
1807,1,NA,127.488
1808,1,NA,109.937
1809,1,NA,27.469
1810,1,NA,112.455
1811,1,NA,60.949
1812,1,NA,120.673
1813,1,NA,130.227
1814,1,NA,157.2
1815,1,NA,13.156
1816,1,NA,133.459
1817,1,NA,91.485
1818,1,NA,96.485
1819,1,NA,100.825
1820,1,NA,142.002
1821,1,NA,106.77
1822,1,NA,54.404
1823,1,NA,17.672
1824,1,NA,21.986
1825,1,NA,33.584
1826,1,NA,78.832
1827,1,NA,125.458
1828,1,NA,142.659
1829,1,NA,150.962
1830,1,NA,152.844
1831,1,NA,146.788
1832,1,NA,85.418
1833,1,NA,88.495
1834,1,NA,89.334
1835,1,NA,41.302
1836,1,NA,34.027
1837,1,NA,131.256
1838,1,NA,65.326
1839,1,NA,67.716
1840,1,NA,93.568
1841,1,NA,97.437
1842,1,NA,95.317
1843,1,NA,85.618
1844,1,NA,31.264
1845,1,NA,19.023
1846,1,NA,103.927
1847,1,NA,60.871
1848,1,NA,51.784
1849,1,NA,76.548
1850,1,NA,26.211
1851,1,NA,104.148
1852,1,NA,82.761
1853,1,NA,91.067
1854,1,NA,58.236
1855,1,NA,124.996
1856,1,NA,138.361
1857,1,NA,119.186
1858,1,NA,48.396
1859,1,NA,115.628
1860,1,NA,120.592
1861,1,NA,96.252
1862,1,NA,101.232
1863,1,NA,38.569
1864,1,NA,110.398
1865,1,NA,82.186
1866,1,NA,17.832
1867,1,NA,122.696
1868,1,NA,94.682
1869,1,NA,93.509
1870,1,NA,99.993
1871,1,NA,148.113
1872,1,NA,98.655
1873,1,NA,130.534
1874,1,NA,74.456
1875,1,NA,95.317
1876,1,NA,63.926
1877,1,NA,88.892
1878,1,NA,106.252
1879,1,NA,70.467
1880,1,NA,68.53
1881,1,NA,174.907
1882,1,NA,116.327
1883,1,NA,72.495
1884,1,NA,59.768
1885,1,NA,130.068
1886,1,NA,108.053
1887,1,NA,78.03
1888,1,NA,69.766
1889,1,NA,38.436
1890,1,NA,93.04
1891,1,NA,153.831
1892,1,NA,73.284
1893,1,NA,68.521
1894,1,NA,116.188
1895,1,NA,134.038
1896,1,NA,126.05
1897,1,NA,144.741
1898,1,NA,16.497
1899,1,NA,78.01
1900,1,NA,73.706
1901,1,NA,22.404
1902,1,NA,121.656
1903,1,NA,61.389
1904,1,NA,33.08
1905,1,NA,36.113
1906,1,NA,83.484
1907,1,NA,107.242
1908,1,NA,141.549
1909,1,NA,107.69
1910,1,NA,92.466
1911,1,NA,145.772
1912,1,NA,130.974
1913,1,NA,85.537
1914,1,NA,61.943
1915,1,NA,94.513
1916,1,NA,77.545
1917,1,NA,120.194
1918,1,NA,88.611
1919,1,NA,65.034
1920,1,NA,95.645
1921,1,NA,77.815
1922,1,NA,48.859
1923,1,NA,62.713
1924,1,NA,88.892
1925,1,NA,94.212
1926,1,NA,73.335
1927,1,NA,144.579
1928,1,NA,66.391
1929,1,NA,11.912
1930,1,NA,88.655
1931,1,NA,51.008
1932,1,NA,112.903
1933,1,NA,130.602
1934,1,NA,119.872
1935,1,NA,81.978
1936,1,NA,74.019
1937,1,NA,120.253
1938,1,NA,147.173
1939,1,NA,106.505
1940,1,NA,124.906
1941,1,NA,145.674
1942,1,NA,126.82
1943,1,NA,107.454
1944,1,NA,41.308
1945,1,NA,76.159
1946,1,NA,71.553
1947,1,NA,88.486
1948,1,NA,106.164
1949,1,NA,97.272
1950,1,NA,91.977
1951,1,NA,94.425
1952,1,NA,118.25
1953,1,NA,106.674
1954,1,NA,2.839
1955,1,NA,98.636
1956,1,NA,67.849
1957,1,NA,65.756
1958,1,NA,87.441
1959,1,86.6,112.293
1960,1,127.12,100.228
1961,1,85.56,90.543
1962,1,102.24,151.359
1963,1,101.5,126.084
1964,1,153.4,122.24
1965,1,64.92,71.209
1966,1,153.36,131.511
1967,1,90.38,131.739
1968,1,116.8,121.34
1969,1,95.74,32.883
1970,1,94.78,100.853
1971,1,128.32,115.101
1972,1,40.26,52.218
1973,1,98.402,117.91
1974,1,74.7,97.583
1975,1,118.3,124.421
1976,1,159.2,138.536
1977,1,57.88,84.31
1978,1,21.48,28.454
1979,1,53.08,60.837
1980,1,46,38.739
1981,1,47.62,64.938
1982,1,91.16,73.152
1983,1,101.5,118.534
1984,1,112.14,76.437
1985,1,198.2,158.895
1986,1,143,157.526
1987,1,63.36,29.856
1988,1,154.8,147.011
1989,1,58.14,46.971
1990,1,122.96,105.121
1991,1,163.04,119.915
1992,1,81.84,90.093
1993,1,160.2,124.945
1994,1,95.1,96.417
1995,1,138.66,133.596
1996,1,63.2,40.102
1997,1,75.7,86.713
1998,1,72.8,89.992
1999,1,71.86,80.036
2000,1,55.2,82.338
2001,1,53.58,73.617
2002,1,47.66,47.66
2003,1,75.28,75.28
2004,1,55.6,55.6
2005,1,66.48,66.48
2006,1,76.04,76.04
2007,1,52.28,52.28
2008,1,70.38,70.38
2009,1,81.68,81.68
2010,1,NA,NA
2011,1,NA,NA
2012,1,NA,NA
2013,1,NA,NA
2014,1,NA,NA
2015,1,NA,NA
2016,1,NA,NA
2017,1,NA,NA
