"Month","Year","Observed","Annual_Recon","Monthly_Recon"
5,1659,NA,3.565,NA
6,1659,NA,3.565,NA
7,1659,NA,3.565,NA
8,1659,NA,3.565,NA
9,1659,NA,3.565,NA
10,1659,NA,2.343,NA
11,1659,NA,2.343,NA
12,1659,NA,2.343,NA
1,1660,NA,2.343,NA
2,1660,NA,2.343,NA
3,1660,NA,2.343,NA
4,1660,NA,2.343,NA
5,1660,NA,2.343,NA
6,1660,NA,2.343,NA
7,1660,NA,2.343,NA
8,1660,NA,2.343,NA
9,1660,NA,2.343,NA
10,1660,NA,3.637,NA
11,1660,NA,3.637,NA
12,1660,NA,3.637,NA
1,1661,NA,3.637,0.85987726346158
2,1661,NA,3.637,0.848752634267544
3,1661,NA,3.637,0.857390465428334
4,1661,NA,3.637,2.78894468197966
5,1661,NA,3.637,14.0403588753954
6,1661,NA,3.637,15.8368787545243
7,1661,NA,3.637,3.76096310921063
8,1661,NA,3.637,1.74596370108877
9,1661,NA,3.637,1.32345792663763
10,1661,NA,4.433,1.27782054258232
11,1661,NA,4.433,1.2207349418639
12,1661,NA,4.433,1.03728359316878
1,1662,NA,4.433,0.999067607984819
2,1662,NA,4.433,0.971404044465771
3,1662,NA,4.433,0.982756991560271
4,1662,NA,4.433,2.78894468197966
5,1662,NA,4.433,15.0572776333912
6,1662,NA,4.433,18.890665500279
7,1662,NA,4.433,5.69802767491354
8,1662,NA,4.433,2.26739221515657
9,1662,NA,4.433,1.98207237721664
10,1662,NA,4.667,1.52510777855773
11,1662,NA,4.667,1.38933718750188
12,1662,NA,4.667,1.28333612142833
1,1663,NA,4.667,1.09921800216417
2,1663,NA,4.667,1.05600986977238
3,1663,NA,4.667,1.0431639576925
4,1663,NA,4.667,2.78894468197966
5,1663,NA,4.667,14.9742983808484
6,1663,NA,4.667,20.0461635148513
7,1663,NA,4.667,6.97973315762616
8,1663,NA,4.667,2.3117035177349
9,1663,NA,4.667,1.86836897935639
10,1663,NA,5.716,1.65289000009861
11,1663,NA,5.716,1.43145854186783
12,1663,NA,5.716,1.33204764434615
1,1664,NA,5.716,1.05696565786445
2,1664,NA,5.716,1.04281859749971
3,1664,NA,5.716,1.14438118580082
4,1664,NA,5.716,2.78894468197966
5,1664,NA,5.716,16.5720562651342
6,1664,NA,5.716,25.8637228452432
7,1664,NA,5.716,8.33513915822943
8,1664,NA,5.716,2.51530894753234
9,1664,NA,5.716,1.8175314780782
10,1664,NA,5.423,1.83250623226839
11,1664,NA,5.423,1.59057439992555
12,1664,NA,5.423,1.32309175672835
1,1665,NA,5.423,1.20047253854729
2,1665,NA,5.423,1.15624518387562
3,1665,NA,5.423,1.21666282530831
4,1665,NA,5.423,2.78894468197966
5,1665,NA,5.423,16.8654302033389
6,1665,NA,5.423,22.9265300502376
7,1665,NA,5.423,7.14157858335333
8,1665,NA,5.423,2.48385622892122
9,1665,NA,5.423,1.78127454048823
10,1665,NA,6.059,1.66975960299744
11,1665,NA,6.059,1.43052225879052
12,1665,NA,6.059,1.30334676701555
1,1666,NA,6.059,1.15222814945632
2,1666,NA,6.059,1.12677515737937
3,1666,NA,6.059,1.22551126821295
4,1666,NA,6.059,2.78894468197966
5,1666,NA,6.059,15.7971377591303
6,1666,NA,6.059,28.3119449437601
7,1666,NA,6.059,8.64777289934254
8,1666,NA,6.059,2.4713029524111
9,1666,NA,6.059,1.5062471635369
10,1666,NA,3.738,1.53107799718071
11,1666,NA,3.738,1.49444210703723
12,1666,NA,3.738,1.16646076362088
1,1667,NA,3.738,1.24403548309867
2,1667,NA,3.738,1.16653030896673
3,1667,NA,3.738,1.21815464394506
4,1667,NA,3.738,2.78894468197966
5,1667,NA,3.738,15.2789723512256
6,1667,NA,3.738,13.8544834918215
7,1667,NA,3.738,3.01134309791437
8,1667,NA,3.738,1.38682579524134
9,1667,NA,3.738,0.986934829885863
10,1667,NA,5.376,1.22110681230373
11,1667,NA,5.376,1.21271339486766
12,1667,NA,5.376,1.10745656650173
1,1668,NA,5.376,0.996434764235879
2,1668,NA,5.376,0.983344846091839
3,1668,NA,5.376,1.04234583840171
4,1668,NA,5.376,2.78894468197966
5,1668,NA,5.376,15.3968126395806
6,1668,NA,5.376,24.9333461954599
7,1668,NA,5.376,7.93652247150925
8,1668,NA,5.376,2.22903922177027
9,1668,NA,5.376,1.50583003449966
10,1668,NA,5.457,1.49083891925624
11,1668,NA,5.457,1.3831039267426
12,1668,NA,5.457,1.23921052776032
1,1669,NA,5.457,1.23064386694099
2,1669,NA,5.457,1.17438551102969
3,1669,NA,5.457,1.31150992607598
4,1669,NA,5.457,2.78894468197966
5,1669,NA,5.457,14.3233737533209
6,1669,NA,5.457,23.6704923041365
7,1669,NA,5.457,6.48306474054514
8,1669,NA,5.457,1.99773844345104
9,1669,NA,5.457,1.42918814736412
10,1669,NA,4.341,1.33423477404479
11,1669,NA,4.341,1.35919845129109
12,1669,NA,4.341,1.22763343137798
1,1670,NA,4.341,1.16372128358999
2,1670,NA,4.341,1.11022794208652
3,1670,NA,4.341,1.1803890389848
4,1670,NA,4.341,2.78894468197966
5,1670,NA,4.341,14.7484648439072
6,1670,NA,4.341,17.3725137749696
7,1670,NA,4.341,3.42714640263847
8,1670,NA,4.341,1.38899001782514
9,1670,NA,4.341,0.990448394744546
10,1670,NA,5.058,1.24534121095713
11,1670,NA,5.058,1.28736548594368
12,1670,NA,5.058,1.10393877264964
