"Year","Month","Observed","Annual_Recon"
1585,NA,NA,NA
1586,NA,NA,NA
1587,NA,NA,NA
1588,NA,NA,NA
1589,NA,NA,NA
1590,NA,NA,NA
1591,NA,NA,NA
1592,NA,NA,NA
1593,NA,NA,NA
1594,NA,NA,NA
1595,NA,NA,NA
1596,NA,NA,NA
1597,NA,NA,NA
1598,NA,NA,NA
1599,NA,NA,NA
1600,NA,NA,NA
1601,NA,NA,NA
1602,NA,NA,NA
1603,NA,NA,NA
1604,NA,NA,NA
1605,1,NA,6.869
1606,1,NA,7.373
1607,1,NA,5.73
1608,1,NA,8.441
1609,1,NA,7.607
1610,1,NA,8.807
1611,1,NA,7.845
1612,1,NA,9.929
1613,1,NA,6.445
1614,1,NA,5.675
1615,1,NA,7.221
1616,1,NA,8.575
1617,1,NA,8.565
1618,1,NA,8.871
1619,1,NA,6.916
1620,1,NA,7.154
1621,1,NA,9.211
1622,1,NA,8.257
1623,1,NA,6.374
1624,1,NA,7.857
1625,1,NA,6.012
1626,1,NA,4.818
1627,1,NA,5.36
1628,1,NA,7.106
1629,1,NA,6.411
1630,1,NA,4.315
1631,1,NA,3.714
1632,1,NA,3.508
1633,1,NA,7.313
1634,1,NA,6.41
1635,1,NA,6.641
1636,1,NA,7.844
1637,1,NA,7.498
1638,1,NA,5.167
1639,1,NA,8.333
1640,1,NA,9.925
1641,1,NA,9.763
1642,1,NA,9.268
1643,1,NA,7.983
1644,1,NA,8.136
1645,1,NA,5.026
1646,1,NA,5.502
1647,1,NA,7.185
1648,1,NA,5.722
1649,1,NA,6.894
1650,1,NA,5.232
1651,1,NA,5.377
1652,1,NA,3.78
1653,1,NA,4.466
1654,1,NA,8.19
1655,1,NA,6.78
1656,1,NA,5.671
1657,1,NA,6.585
1658,1,NA,7.068
1659,1,NA,8.028
1660,1,NA,6.965
1661,1,NA,6.216
1662,1,NA,8.033
1663,1,NA,8.026
1664,1,NA,7.644
1665,1,NA,7.844
1666,1,NA,8.269
1667,1,NA,7.121
1668,1,NA,6.67
1669,1,NA,7.443
1670,1,NA,6.324
1671,1,NA,4.618
1672,1,NA,6.782
1673,1,NA,5.158
1674,1,NA,7.48
1675,1,NA,7.07
1676,1,NA,9.469
1677,1,NA,5.998
1678,1,NA,7.903
1679,1,NA,7.039
1680,1,NA,7.455
1681,1,NA,5.077
1682,1,NA,8.335
1683,1,NA,7.46
1684,1,NA,7.677
1685,1,NA,6.824
1686,1,NA,6.872
1687,1,NA,8.977
1688,1,NA,9.218
1689,1,NA,6.601
1690,1,NA,6.313
1691,1,NA,7.556
1692,1,NA,7.709
1693,1,NA,8.87
1694,1,NA,7.426
1695,1,NA,6.871
1696,1,NA,9.212
1697,1,NA,7.998
1698,1,NA,6.656
1699,1,NA,6.926
1700,1,NA,9.018
1701,1,NA,9.164
1702,1,NA,7.695
1703,1,NA,6.808
1704,1,NA,6.411
1705,1,NA,7.739
1706,1,NA,5.542
1707,1,NA,6.242
1708,1,NA,6.169
1709,1,NA,6.349
1710,1,NA,6.634
1711,1,NA,8.26
1712,1,NA,6.464
1713,1,NA,7.626
1714,1,NA,6.6
1715,1,NA,6.905
1716,1,NA,5.751
1717,1,NA,5.392
1718,1,NA,5.748
1719,1,NA,6.321
1720,1,NA,6.67
1721,1,NA,4.211
1722,1,NA,8.219
1723,1,NA,8.399
1724,1,NA,8.008
1725,1,NA,8.908
1726,1,NA,10.155
1727,1,NA,10.663
1728,1,NA,8.573
1729,1,NA,3.381
1730,1,NA,7.55
1731,1,NA,7.889
1732,1,NA,7.432
1733,1,NA,8.499
1734,1,NA,6.426
1735,1,NA,1.251
1736,1,NA,4.504
1737,1,NA,5.604
1738,1,NA,7.565
1739,1,NA,6.27
1740,1,NA,6.985
1741,1,NA,6.745
1742,1,NA,6.73
1743,1,NA,7.203
1744,1,NA,6.745
1745,1,NA,6.026
1746,1,NA,9.185
1747,1,NA,8.317
1748,1,NA,6.921
1749,1,NA,8.113
1750,1,NA,7.908
1751,1,NA,8.685
1752,1,NA,6.883
1753,1,NA,8.274
1754,1,NA,7.413
1755,1,NA,4.101
1756,1,NA,4.743
1757,1,NA,5.117
1758,1,NA,6.635
1759,1,NA,6.615
1760,1,NA,3.405
1761,1,NA,5.158
1762,1,NA,6.671
1763,1,NA,6.416
1764,1,NA,6.497
1765,1,NA,4.599
1766,1,NA,7.396
1767,1,NA,8.42
1768,1,NA,8.885
1769,1,NA,7.922
1770,1,NA,6.338
1771,1,NA,9.68
1772,1,NA,7.534
1773,1,NA,7.896
1774,1,NA,7.621
1775,1,NA,9.694
1776,1,NA,7.772
1777,1,NA,2.854
1778,1,NA,6.23
1779,1,NA,6.346
1780,1,NA,6.897
1781,1,NA,5.972
1782,1,NA,5.35
1783,1,NA,5.209
1784,1,NA,6.566
1785,1,NA,8.697
1786,1,NA,7.899
1787,1,NA,7.561
1788,1,NA,7.102
1789,1,NA,8.396
1790,1,NA,8.512
1791,1,NA,8.935
1792,1,NA,9.965
1793,1,NA,10.568
1794,1,NA,7.867
1795,1,NA,3.715
1796,1,NA,8.118
1797,1,NA,8.115
1798,1,NA,5.338
1799,1,NA,7.738
1800,1,NA,4.62
1801,1,NA,6.951
1802,1,NA,7.91
1803,1,NA,7.777
1804,1,NA,5.606
1805,1,NA,7.084
1806,1,NA,5.379
1807,1,NA,6.435
1808,1,NA,7.294
1809,1,NA,7.85
1810,1,NA,9.909
1811,1,NA,10.865
1812,1,NA,8.498
1813,1,NA,5.937
1814,1,NA,4.45
1815,1,NA,6.875
1816,1,NA,5.15
1817,1,NA,6.465
1818,1,NA,6.206
1819,1,NA,7.25
1820,1,NA,7.894
1821,1,NA,8.257
1822,1,NA,6.455
1823,1,NA,6.681
1824,1,NA,4.682
1825,1,NA,6.422
1826,1,NA,8.283
1827,1,NA,8.447
1828,1,NA,8.167
1829,1,NA,5.885
1830,1,NA,7.708
1831,1,NA,7.077
1832,1,NA,9.857
1833,1,NA,5.392
1834,1,NA,4.576
1835,1,NA,7.775
1836,1,NA,8.829
1837,1,NA,8.898
1838,1,NA,9.892
1839,1,NA,6.948
1840,1,NA,9.21
1841,1,NA,8.911
1842,1,NA,6.098
1843,1,NA,6.896
1844,1,NA,7.716
1845,1,NA,3.861
1846,1,NA,4.247
1847,1,NA,4.629
1848,1,NA,5.695
1849,1,NA,7.868
1850,1,NA,6.58
1851,1,NA,5.804
1852,1,NA,6.992
1853,1,NA,8.906
1854,1,NA,8.514
1855,1,NA,6.566
1856,1,NA,5.654
1857,1,NA,6.815
1858,1,NA,7.151
1859,1,NA,8.317
1860,1,NA,9.114
1861,1,NA,6.942
1862,1,NA,7.606
1863,1,NA,4.001
1864,1,NA,3.662
1865,1,NA,5.082
1866,1,NA,7.52
1867,1,NA,7.583
1868,1,NA,8.512
1869,1,NA,7.805
1870,1,NA,7.521
1871,1,NA,6.167
1872,1,NA,7.865
1873,1,NA,10.291
1874,1,NA,9.685
1875,1,NA,8.811
1876,1,NA,8.613
1877,1,NA,7.316
1878,1,NA,6.501
1879,1,NA,5.151
1880,1,NA,7.803
1881,1,NA,7.385
1882,1,NA,6.685
1883,1,NA,8.06
1884,1,NA,8.251
1885,1,NA,9.676
1886,1,NA,6.247
1887,1,NA,6.15
1888,1,NA,3.077
1889,1,NA,1.722
1890,1,NA,6.868
1891,1,NA,7.539
1892,1,NA,7.041
1893,1,NA,6.541
1894,1,NA,6.83
1895,1,NA,7.682
1896,1,NA,7.061
1897,1,NA,5.926
1898,1,NA,7.837
1899,1,NA,6.155
1900,1,NA,6.468
1901,1,NA,4.873
1902,1,NA,6.455
1903,1,NA,6.633
1904,1,NA,7.373
1905,1,NA,9.245
1906,1,NA,9.402
1907,1,NA,10.679
1908,1,NA,9.018
1909,1,NA,9.026
1910,1,NA,7.988
1911,1,NA,6.601
1912,1,NA,7.092
1913,1,NA,9.088
1914,1,NA,9.125
1915,1,NA,6.049
1916,1,NA,8.452
1917,1,NA,8.751
1918,1,NA,6.267
1919,1,NA,6.587
1920,1,NA,7.015
1921,1,NA,7.719
1922,1,9.39855533488886,7.789
1923,1,8.97419053801697,8.03
1924,1,6.73948685732931,6.257
1925,1,6.71016167748454,6.531
1926,1,5.31852443319058,6.792
1927,1,7.31412510411117,7.112
1928,1,7.81227755362623,7.067
1929,1,7.11008864784552,7.332
1930,1,5.69765985591689,6.424
1931,1,3.62897844666845,5.369
1932,1,8.39192185599581,5.741
1933,1,6.71085990109914,6.45
1934,1,3.55938882641359,1.579
1935,1,5.53187053765085,6.667
1936,1,9.14897197594859,6.659
1937,1,6.46384390233495,8.038
1938,1,7.45183031699007,7.652
1939,1,5.3632107445248,5.153
1940,1,4.41208964645351,6.101
1941,1,3.80407741312912,5.632
1942,1,4.69376945892927,6.963
1943,1,8.19830894139617,7.438
1944,1,5.48248192131777,6.246
1945,1,6.21806918999671,6.626
1946,1,8.47038340988423,7.197
1947,1,6.86353813149107,7.876
1948,1,7.57932120092538,7.445
1949,1,7.18006617010849,7.161
1950,1,10.278394669683,6.611
1951,1,9.28583101133221,6.605
1952,1,8.59315715103895,7.432
1953,1,6.66462198173247,8.247
1954,1,5.09229998206106,4.423
1955,1,5.17965551428734,6.297
1956,1,7.80252913102898,7.922
1957,1,7.25927576016447,7.428
1958,1,7.20962430312644,6.684
1959,1,5.61767446184469,4.877
1960,1,5.42553875440053,4.995
1961,1,3.73060877279316,3.599
1962,1,6.68417224294119,8.092
1963,1,5.70759014732449,6.684
1964,1,6.20974519444564,6.547
1965,1,9.00343834942843,8.535
1966,1,6.00379212071698,8.544
1967,1,7.41443656340831,8.399
1968,1,6.70853948400472,6.755
1969,1,7.04957593458043,7.68
1970,1,6.95841896267468,8.003
1971,1,11.5452050477673,9.192
1972,1,10.7470169659971,8.296
1973,1,6.51465906539731,7.995
1974,1,8.85068253863487,6.045
1975,1,8.58745223593171,7.562
1976,1,7.49591802981561,6.68
1977,1,3.4167960482325,4.338
1978,1,7.66052159735303,7.609
1979,1,6.03187622610411,6.828
1980,1,7.77235544203751,7.301
1981,1,4.94125094010319,8.297
1982,1,9.68451669526725,8.277
1983,1,10.3351835236703,10.848
1984,1,12.5162009305306,10.587
1985,1,8.42375758850946,8.989
1986,1,13.0215600906324,10.481
1987,1,5.37143426709672,7.506
1988,1,4.50400334522754,4.958
1989,1,6.23513687835354,4.247
1990,1,4.07064367310203,4.732
1991,1,4.46583823896408,5.628
1992,1,3.35221947851961,4.466
1993,1,7.10799397700173,6.403
1994,1,4.73170627532239,6.71
1995,1,7.76184160187126,8.222
1996,1,8.45342976047843,8.645
1997,1,10.495076731413,8.932
1998,1,9.14238484873328,9.616
1999,1,9.93595477692388,9.37
2000,1,5.59567193925246,6.48
2001,1,4.37987915396699,5.759
2002,1,4.32534013162678,4.004
2003,1,4.74861880287597,5.114
2004,1,4.37278648233128,4.609
2005,1,7.9924105554916,8.293
2006,1,9.28241747366085,NA
2007,1,5.32457570451709,NA
2008,1,5.76062143907253,NA
2009,1,7.34453662154696,NA
2010,1,5.62170864272903,NA
2011,1,11.9540537643148,NA
2012,1,6.24262677860302,NA
2013,1,4.17576511729973,NA
2014,1,5.45110933956243,NA
2015,1,4.97670518364441,NA
2016,1,5.81872513248944,NA
2017,NA,NA,NA
