site_group	site_name	recon_name	recon_originator	recon_citation	recon_link	base_name	base_originator	base_link	col_name	lat	lon
"USA, CO"	Upper Rio Grande	Rio Grande 500 Year Riverflow and Precipitation Reconstructions	"Woodhouse, C.A.; Meko, D.M.; Griffin, D.; Castro, C.L."	"Woodhouse, C.A., D.M. Meko, D. Griffin, and C.L. Castro. 2013. Tree rings and multiseason drought variability in the lower Rio Grande Basin, USA. Water Resources Research, Vol. 49, Issue 2, pp. 844-850. DOI: 10.1002/wrcr.20098"	https://www.ncdc.noaa.gov/paleo-search/study/14249	USGS 08220000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=08220000	riogrande2013	37.688611	-106.459861
"USA, UT"	Bear River near Utah-Wyo	"Bear River, Utah 1,200 Year Streamflow Reconstruction"	"DeRose, R.J.; Bekker, M.F.; Wang, S.-Y.; Buckley, B.M.; Kjelgren, R.; Bardsley, T.; Rittenour, T.M.; Allen, E.B."	"R.J. DeRose, M.F. Bekker, S.-Y. Wang, B.M. Buckley, R.K. Kjelgren, T. Bardsley, T.M. Rittenour, E.B. Allen. 2015. A millennium-length reconstruction of Bear River stream flow, Utah. Journal of Hydrology, 529(2), 524-534. doi: 10.1016/j.jhydrol.2015.01.014"	https://www.ncdc.noaa.gov/paleo-search/study/19299	USGS 10011500	USGS	https://waterdata.usgs.gov/nwis/uv?site_no=10011500	bear	40.965278	-110.852778
"USA, UT"	Logan River (Local Model)	"Logan River, Utah 400 Year Streamflow Reconstructions"	"Allen, E.B.; Rittenour, T.M.; DeRose, R.J.; Bekker, M.F.; Kjelgren, R.; Buckley, B.M."	"Eric B. Allen, Tammy M. Rittenour, R. Justin DeRose, Matthew F. Bekker, Roger Kjelgren, Brendan M. Buckley. 2013. A tree-ring based reconstruction of Logan River streamflow, northern Utah. Water Resources Research, 49(12), 8579-8588. doi: 10.1002/2013WR014273"	https://www.ncdc.noaa.gov/paleo-search/study/16074	USGS 10109001	USGS	https://waterdata.usgs.gov/nwis/dv?referred_module=sw&site_no=10109001	logan_local	41.744444	-111.783611
"USA, UT"	Logan River (Regional Model)	"Logan River, Utah 400 Year Streamflow Reconstructions"	"Allen, E.B.; Rittenour, T.M.; DeRose, R.J.; Bekker, M.F.; Kjelgren, R.; Buckley, B.M."	"Eric B. Allen, Tammy M. Rittenour, R. Justin DeRose, Matthew F. Bekker, Roger Kjelgren, Brendan M. Buckley. 2013. A tree-ring based reconstruction of Logan River streamflow, northern Utah. Water Resources Research, 49(12), 8579-8588. doi: 10.1002/2013WR014273"	https://www.ncdc.noaa.gov/paleo-search/study/16074	USGS 10109001	USGS	https://waterdata.usgs.gov/nwis/dv?referred_module=sw&site_no=10109001	logan_region	41.744444	-111.783611
"USA, UT"	Weber River	"Weber River, Utah 576 Year Streamflow Reconstruction"	"Bekker, M.F.; DeRose, R.J.; Buckley, B.M.; Kjelgren, R.; Gill, N.S."	"Matthew F. Bekker, R. Justin DeRose, Brendan M. Buckley, Roger K. Kjelgren, and Nathan S. Gill. 2014. A 576-Year Weber River Streamflow Reconstruction from Tree Rings for Water Resource Risk Assessment in the Wasatch Front, Utah. Journal of the American Water Resources Association. . doi: 10.1111/jawr.12191"	https://www.ncdc.noaa.gov/paleo-search/study/16416	USGS 10128500	USGS	https://waterdata.usgs.gov/nwis/uv?site_no=10128500	weber	40.737222	-111.247222
Mongolia	Yeruu River	"Yeruu River, Mongolia 300 Year Streamflow Reconstruction"	"Pederson, N.; Leland, C.; Nachin, B.; Hessl, A.E.; Bell, A.R.; Martin-Benito, D.; Saladyga, T.; Suran, B.; Brown, P.M.; Davi, N.K."	"Pederson, N., C. Leland, B. Nachin, A.E. Hessl, A.R. Bell, D. Martin-Benito, T. Saladyga, B. Suran, P.M. Brown, N.K. Davi. 2012. Three centuries of shifting hydroclimatic regimes across the Mongolian Breadbasket. Agricultural and Forest Meteorology, DOI: 10.1016/j.agrformet.2012.07.003."	https://www.ncdc.noaa.gov/paleo-search/study/13542	SiteID 54243			yeruu	50.1029	106.906
"USA, WY"	"Green River near Daniel, WY"	"Green River at Warren Bridge, near Daniel, WY"	"Barnett, F.A.; Gray, S.T.; Tootle, G.A"	"Barnett, F.A., T.A. Watson, G.A. Tootle and S.T. Gray. 2010. Upper Green River Basin (USA) streamflow reconstructions. Journal of Hydrologic Engineering."	http://www.treeflow.info/green-river	USGS 09188500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09188500&agency_cd=USGS	greendaniel_0	43.019417	-110.118611
"USA, WY"	"Pine Creek above Fremont Lake, WY"	"Pine Creek above Fremont Lake, WY"	"Barnett, F.A.; Gray, S.T.; Tootle, G.A"	"Barnett, F.A., T.A. Watson, G.A. Tootle and S.T. Gray. 2010. Upper Green River Basin (USA) streamflow reconstructions. Journal of Hydrologic Engineering."	http://www.treeflow.info/content/pine-creek-above-fremont-lake-wy	USGS 09196500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09196500&agency_cd=USGS	pinecrk_1	43.027056	-109.773528
"USA, WY"	"East Fork River near Big Sandy, WY"	"East Fork River near Big Sandy, WY"	"Barnett, F.A.; Gray, S.T.; Tootle, G.A"	"Barnett, F.A., T.A. Watson, G.A. Tootle and S.T. Gray. 2010. Upper Green River Basin (USA) streamflow reconstructions. Journal of Hydrologic Engineering."	http://www.treeflow.info/content/east-fork-river-near-big-sandy-wy	USGS 09203000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09203000&agency_cd=USGS	eastfork	42.6725	-109.421667
"USA, WY"	"Hams Fork near Frontier, WY"	"Hams Fork near Frontier, WY"	"Barnett, F.A.; Gray, S.T.; Tootle, G.A"	"Barnett, F.A., T.A. Watson, G.A. Tootle and S.T. Gray. 2010. Upper Green River Basin (USA) streamflow reconstructions. Journal of Hydrologic Engineering."	http://www.treeflow.info/content/hams-fork-near-frontier-wy	USGS 09223000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09223000&agency_cd=USGS	hamsfork	42.110889	-110.709417
