"Month","Year","Observed","Annual_Recon","Monthly_Recon"
5,1659,NA,8.028,NA
6,1659,NA,8.028,NA
7,1659,NA,8.028,NA
8,1659,NA,8.028,NA
9,1659,NA,8.028,NA
10,1659,NA,6.965,NA
11,1659,NA,6.965,NA
12,1659,NA,6.965,NA
1,1660,NA,6.965,NA
2,1660,NA,6.965,NA
3,1660,NA,6.965,NA
4,1660,NA,6.965,NA
5,1660,NA,6.965,NA
6,1660,NA,6.965,NA
7,1660,NA,6.965,NA
8,1660,NA,6.965,NA
9,1660,NA,6.965,NA
10,1660,NA,6.216,NA
11,1660,NA,6.216,NA
12,1660,NA,6.216,NA
1,1661,NA,6.216,2.87069168969793
2,1661,NA,6.216,2.79834609231531
3,1661,NA,6.216,2.87560908481378
4,1661,NA,6.216,5.52983611550457
5,1661,NA,6.216,14.2739565920723
6,1661,NA,6.216,13.3938292490815
7,1661,NA,6.216,7.152859244719
8,1661,NA,6.216,5.00952939638086
9,1661,NA,6.216,4.04446269762902
10,1661,NA,8.033,3.61447014432696
11,1661,NA,8.033,3.32827403292268
12,1661,NA,8.033,3.00585288694118
1,1662,NA,8.033,2.99670507081168
2,1662,NA,8.033,2.99040661617412
3,1662,NA,8.033,3.29454485566288
4,1662,NA,8.033,6.91529784461494
5,1662,NA,8.033,19.1794706949709
6,1662,NA,8.033,22.3664496922524
7,1662,NA,8.033,11.4270149788612
8,1662,NA,8.033,6.87072747758992
9,1662,NA,8.033,5.36534383163361
10,1662,NA,8.026,4.62092247638818
11,1662,NA,8.026,4.06547871308228
12,1662,NA,8.026,3.73201770527821
1,1663,NA,8.026,3.49572848986992
2,1663,NA,8.026,3.29020181420083
3,1663,NA,8.026,3.56293999820012
4,1663,NA,8.026,7.37312312508899
5,1663,NA,8.026,19.1597107276018
6,1663,NA,8.026,22.0686696604321
7,1663,NA,8.026,11.306477889281
8,1663,NA,8.026,6.99020284898176
9,1663,NA,8.026,5.35338417773931
10,1663,NA,7.644,4.65682662990792
11,1663,NA,7.644,4.04297646803021
12,1663,NA,7.644,3.60812336509353
1,1664,NA,7.644,3.43296908864811
2,1664,NA,7.644,3.3224233676007
3,1664,NA,7.644,3.55888437887784
4,1664,NA,7.644,7.11171376761835
5,1664,NA,7.644,18.0796094026087
6,1664,NA,7.644,19.2480287979483
7,1664,NA,7.644,10.2101637487421
8,1664,NA,7.644,6.36724376887054
9,1664,NA,7.644,5.0948090483642
10,1664,NA,7.844,4.44301565291361
11,1664,NA,7.844,3.96788333019077
12,1664,NA,7.844,3.58991597127906
1,1665,NA,7.844,3.38937941464168
2,1665,NA,7.844,3.18629255858768
3,1665,NA,7.844,3.44028101933562
4,1665,NA,7.844,7.09853250432719
5,1665,NA,7.844,18.6452029501912
6,1665,NA,7.844,20.3424718702103
7,1665,NA,7.844,10.4574650301643
8,1665,NA,7.844,6.49003714334593
9,1665,NA,7.844,5.13218836005964
10,1665,NA,8.269,4.47496063477163
11,1665,NA,8.269,4.01569129197565
12,1665,NA,8.269,3.74528465468726
1,1666,NA,8.269,3.35859108513551
2,1666,NA,8.269,3.343206995006
3,1666,NA,8.269,3.78878125190365
4,1666,NA,8.269,8.89354295704078
5,1666,NA,8.269,19.8433565661081
6,1666,NA,8.269,21.4560609277567
7,1666,NA,8.269,11.4526489698484
8,1666,NA,8.269,6.95002527661218
9,1666,NA,8.269,5.61545926586351
10,1666,NA,7.121,4.8482258623659
11,1666,NA,7.121,4.29396381778003
12,1666,NA,7.121,3.62806016687908
1,1667,NA,7.121,3.50237094692911
2,1667,NA,7.121,3.1802363689403
3,1667,NA,7.121,3.64231250637078
4,1667,NA,7.121,8.871719854653
5,1667,NA,7.121,16.6186285539743
6,1667,NA,7.121,15.7523136314062
7,1667,NA,7.121,7.87558228739627
8,1667,NA,7.121,5.63778293521751
9,1667,NA,7.121,4.45682002812225
10,1667,NA,6.67,3.98813453657609
11,1667,NA,6.67,3.53396882810963
12,1667,NA,6.67,3.0914637644227
1,1668,NA,6.67,3.07350832030553
2,1668,NA,6.67,2.93940256431321
3,1668,NA,6.67,3.15711026606022
4,1668,NA,6.67,5.95404709672993
5,1668,NA,6.67,15.4104545458402
6,1668,NA,6.67,15.8531592070357
7,1668,NA,6.67,8.40623601306584
8,1668,NA,6.67,5.49045128972986
9,1668,NA,6.67,4.40796593358423
10,1668,NA,7.443,3.88595345115413
11,1668,NA,7.443,3.4939524065271
12,1668,NA,7.443,3.27556665569162
1,1669,NA,7.443,3.05018821371611
2,1669,NA,7.443,2.99329601005098
3,1669,NA,7.443,3.53352914705435
4,1669,NA,7.443,9.11930552626409
5,1669,NA,7.443,17.5135068766708
6,1669,NA,7.443,18.9662877132742
7,1669,NA,7.443,9.57076457763708
8,1669,NA,7.443,6.14770887956228
9,1669,NA,7.443,4.92549669231367
10,1669,NA,6.324,4.30449264775658
11,1669,NA,6.324,3.78359692612366
12,1669,NA,6.324,3.29720067633406
1,1670,NA,6.324,3.23264582683637
