site_group	site_name	recon_name	recon_originator	recon_citation	recon_link	base_name	base_originator	base_link	col_name	lat	lon
"USA, CO"	Upper Rio Grande	Rio Grande 500 Year Riverflow and Precipitation Reconstructions	"Woodhouse, C.A.; Meko, D.M.; Griffin, D.; Castro, C.L."	"Woodhouse, C.A., D.M. Meko, D. Griffin, and C.L. Castro. 2013. Tree rings and multiseason drought variability in the lower Rio Grande Basin, USA. Water Resources Research, Vol. 49, Issue 2, pp. 844-850. DOI: 10.1002/wrcr.20098"	https://www.ncdc.noaa.gov/paleo-search/study/14249	USGS 08220000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=08220000	riogrande2013	37.688611	-106.459861
"USA, UT"	Bear River near Utah-Wyo	"Bear River, Utah 1,200 Year Streamflow Reconstruction"	"DeRose, R.J.; Bekker, M.F.; Wang, S.-Y.; Buckley, B.M.; Kjelgren, R.; Bardsley, T.; Rittenour, T.M.; Allen, E.B."	"R.J. DeRose, M.F. Bekker, S.-Y. Wang, B.M. Buckley, R.K. Kjelgren, T. Bardsley, T.M. Rittenour, E.B. Allen. 2015. A millennium-length reconstruction of Bear River stream flow, Utah. Journal of Hydrology, 529(2), 524-534. doi: 10.1016/j.jhydrol.2015.01.014"	https://www.ncdc.noaa.gov/paleo-search/study/19299	USGS 10011500	USGS	https://waterdata.usgs.gov/nwis/uv?site_no=10011500	bear2015	40.965278	-110.852778
"USA, UT"	Logan River	"Logan River, Utah 400 Year Streamflow Reconstructions"	"Allen, E.B.; Rittenour, T.M.; DeRose, R.J.; Bekker, M.F.; Kjelgren, R.; Buckley, B.M."	"Eric B. Allen, Tammy M. Rittenour, R. Justin DeRose, Matthew F. Bekker, Roger Kjelgren, Brendan M. Buckley. 2013. A tree-ring based reconstruction of Logan River streamflow, northern Utah. Water Resources Research, 49(12), 8579-8588. doi: 10.1002/2013WR014273"	https://www.ncdc.noaa.gov/paleo-search/study/16074	USGS 10109001	USGS	https://waterdata.usgs.gov/nwis/dv?referred_module=sw&site_no=10109001	logan2013	41.744444	-111.783611
"USA, UT"	Weber River	"Weber River, Utah 576 Year Streamflow Reconstruction"	"Bekker, M.F.; DeRose, R.J.; Buckley, B.M.; Kjelgren, R.; Gill, N.S."	"Matthew F. Bekker, R. Justin DeRose, Brendan M. Buckley, Roger K. Kjelgren, and Nathan S. Gill. 2014. A 576-Year Weber River Streamflow Reconstruction from Tree Rings for Water Resource Risk Assessment in the Wasatch Front, Utah. Journal of the American Water Resources Association. . doi: 10.1111/jawr.12191"	https://www.ncdc.noaa.gov/paleo-search/study/16416	USGS 10128500	USGS	https://waterdata.usgs.gov/nwis/uv?site_no=10128500	weber2014	40.737222	-111.247222
Mongolia	Yeruu River	"Yeruu River, Mongolia 300 Year Streamflow Reconstruction"	"Pederson, N.; Leland, C.; Nachin, B.; Hessl, A.E.; Bell, A.R.; Martin-Benito, D.; Saladyga, T.; Suran, B.; Brown, P.M.; Davi, N.K."	"Pederson, N., C. Leland, B. Nachin, A.E. Hessl, A.R. Bell, D. Martin-Benito, T. Saladyga, B. Suran, P.M. Brown, N.K. Davi. 2012. Three centuries of shifting hydroclimatic regimes across the Mongolian Breadbasket. Agricultural and Forest Meteorology, DOI: 10.1016/j.agrformet.2012.07.003."	https://www.ncdc.noaa.gov/paleo-search/study/13542	SiteID 54243			yeruu2012	50.1029	106.906
"USA, WY"	"Green River near Daniel, WY"	"Green River at Warren Bridge, near Daniel, WY"	"Barnett, F.A.; Gray, S.T.; Tootle, G.A"	"Barnett, F.A., T.A. Watson, G.A. Tootle and S.T. Gray. 2010. Upper Green River Basin (USA) streamflow reconstructions. Journal of Hydrologic Engineering."	http://www.treeflow.info/green-river	USGS 09188500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09188500&agency_cd=USGS	greendaniel_0	43.019417	-110.118611
"USA, WY"	"Pine Creek above Fremont Lake, WY"	"Pine Creek above Fremont Lake, WY"	"Barnett, F.A.; Gray, S.T.; Tootle, G.A"	"Barnett, F.A., T.A. Watson, G.A. Tootle and S.T. Gray. 2010. Upper Green River Basin (USA) streamflow reconstructions. Journal of Hydrologic Engineering."	http://www.treeflow.info/content/pine-creek-above-fremont-lake-wy	USGS 09196500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09196500&agency_cd=USGS	pinecrk_1	43.027056	-109.773528
"USA, WY"	"East Fork River near Big Sandy, WY"	"East Fork River near Big Sandy, WY"	"Barnett, F.A.; Gray, S.T.; Tootle, G.A"	"Barnett, F.A., T.A. Watson, G.A. Tootle and S.T. Gray. 2010. Upper Green River Basin (USA) streamflow reconstructions. Journal of Hydrologic Engineering."	http://www.treeflow.info/content/east-fork-river-near-big-sandy-wy	USGS 09203000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09203000&agency_cd=USGS	eastfork	42.6725	-109.421667
"USA, WY"	"Hams Fork near Frontier, WY"	"Hams Fork near Frontier, WY"	"Barnett, F.A.; Gray, S.T.; Tootle, G.A"	"Barnett, F.A., T.A. Watson, G.A. Tootle and S.T. Gray. 2010. Upper Green River Basin (USA) streamflow reconstructions. Journal of Hydrologic Engineering."	http://www.treeflow.info/content/hams-fork-near-frontier-wy	USGS 09223000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09223000&agency_cd=USGS	hamsfork	42.110889	-110.709417
"USA, WY"	"Fontanelle Crk near Fontanelle, WY"	"Fontanelle Crk near Fontanelle, WY"	"Barnett, F.A.; Gray, S.T.; Tootle, G.A"	"Barnett, F.A., T.A. Watson, G.A. Tootle and S.T. Gray. 2010. Upper Green River Basin (USA) streamflow reconstructions. Journal of Hydrologic Engineering."	http://www.treeflow.info/content/fontanelle-crk-near-fontanelle-wy	USGS 09210500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09210500&agency_cd=USGS	fontanellecrk	42.095806	-110.416083
"USA, WY"	Green River below Fontanelle Res	Green River below Fontanelle Res	"Barnett, F.A.; Gray, S.T.; Tootle, G.A"	"Barnett, F.A., T.A. Watson, G.A. Tootle and S.T. Gray. 2010. Upper Green River Basin (USA) streamflow reconstructions. Journal of Hydrologic Engineering."	http://www.treeflow.info/content/green-river-below-fontanelle-reservoir-wy	USGS 09211200	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09211200&agency_cd=USGS	greenfontanelle	42.095806	-110.416083
"USA, WY"	Green River near Green River	Green River near Green River	"Woodhouse, C.A.; Gray, S.T. ;  Meko, D.M."	"Woodhouse, C.A., S.T. Gray, and D.M. Meko. 2006. Updated streamflow reconstructions for the Upper Colorado River basin. Water Resources Research 42(5): W05415"	http://www.treeflow.info/content/green-river-near-green-river-wy	USGS 09217000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09217000&agency_cd=USGS	greengreenrivwy	41.516389	-109.448333
"USA, WY"	Green River near Barnett	Green River near Barnett	"Barnett, F.A.; Gray, S.T.; Tootle, G.A"	"Barnett, F.A., T.A. Watson, G.A. Tootle and S.T. Gray. 2010. Upper Green River Basin (USA) streamflow reconstructions. Journal of Hydrologic Engineering."	http://www.treeflow.info/content/green-river-near-green-river-wy-barnett	USGS 09217000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09217000&agency_cd=USGS	greengreenrivwybarnett	41.516389	-109.448333
"USA, UT"	"Green River near Greendale, UT"	"Green River near Greendale, UT"	"Barnett, F.A.; Gray, S.T.; Tootle, G.A"	"Barnett, F.A., T.A. Watson, G.A. Tootle and S.T. Gray. 2010. Upper Green River Basin (USA) streamflow reconstructions. Journal of Hydrologic Engineering."	http://www.treeflow.info/content/green-river-near-greendale-ut	USGS 09234500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09234500&agency_cd=USGS	greengreendale	40.908333	-109.422222
"USA, UT"	"Green River at Green River, UT"	"Green River at Green River, UT"	"Woodhouse, C.A.; Gray, S.T. ;  Meko, D.M."	"Woodhouse, C.A., S.T. Gray, and D.M. Meko. 2006. Updated streamflow reconstructions for the Upper Colorado River basin. Water Resources Research 42(5): W05415"	http://www.treeflow.info/content/green-river-green-river-ut	USGS 09315000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09315000&agency_cd=USGS	greengreenrivut	38.986111	-110.150556
"USA, CO"	"Little Snake River near Lily, CO"	"Little Snake River near Lily, CO"	"Gray, S.T.; Lukas, J.J.; Woodhouse, C.A."	"Gray, S. T., J. J. Lukas, C. A. Woodhouse. 2011. Millennial-length records of streamflow from three major upper Colorado River tributaries. Journal of the American Water Resources Association, 47(4): 704-712. DOI: 10.1111/j.1752-1688.2011.00535.x."	http://www.treeflow.info/content/little-snake-river-near-lily-co	USGS 09260000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09260000&agency_cd=USGS	littlesnake	40.549017	-108.424322
"USA, CO"	"Yamp River near Maybell, CO"	"Yampa River near Maybell, CO"	"Yampa River near Maybell, CO"	"Gray, S. T., J. J. Lukas, C. A. Woodhouse. 2011. Millennial-length records of streamflow from three major upper Colorado River tributaries. Journal of the American Water Resources Association, 47(4): 704-712. DOI: 10.1111/j.1752-1688.2011.00535.x."	http://www.treeflow.info/content/yampa-river-near-maybell-co	USGS 09251000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09251000&agency_cd=USGS	yampa	40.502778	-108.032778
"USA, UT"	"White River near Watson, UT"	"White River near Watson, UT"	"Gray, S.T.; Lukas, J.J.; Woodhouse, C.A."	"Gray, S. T., J. J. Lukas, C. A. Woodhouse. 2011. Millennial-length records of streamflow from three major upper Colorado River tributaries. Journal of the American Water Resources Association, 47(4): 704-712. DOI: 10.1111/j.1752-1688.2011.00535.x."	http://www.treeflow.info/content/white-river-near-watson-ut	USGS 09306500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09306500&agency_cd=USGS	white	39.978889	-109.178056
"USA, CO"	"Fraser River at Winter Park, CO"	"Fraser River at Winter Park, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/fraser-river-winter-park-co	USGS 09023750	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09023750&agency_cd=USGS	fraserwinterpark	39.893028	-105.76475
"USA, CO"	"Fraser River at Granby, CO"	"Fraser River at Granby, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/fraser-river-granby-co	uSGS 09034000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09034000&agency_cd=USGS	frasergranby	40.085278	-105.954722
"USA, CO"	Willow Creek Reservoir Inflow	Willow Creek Reservoir Inflow	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/willow-creek-reservoir-inflow-co	USGS 09021000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09021000&agency_cd=USGS	willowcreekres	40.145833	-105.939444
"USA, CO"	"Colorado River near Granby, CO"	"Colorado River near Granby, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/colorado-river-near-granby-co	USGS 09019500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09019500&agency_cd=USGS	coloradogranby	40.120833	-105.9
"USA, CO"	"Colorado River at Hot Sulphur Springs, CO"	"Colorado River at Hot Sulphur Springs, CO"		"Woodhouse, C., and J. Lukas. Streamflow Reconstructions for Boulder Creek, South Boulder Creek, and the Colorado River. Report to City of Boulder and Hydrosphere Resource Consultants, January 2006."	http://www.treeflow.info/content/colorado-river-hot-sulphur-springs-co	USGS 09034500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09034500&agency_cd=USGS	coloradohotsulphur	40.083333	-106.0875
"USA, CO"	"Williams Fork near Leal, CO"	"Williams Fork near Leal, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/williams-fork-near-leal-co	USGS 09036000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09036000&agency_cd=USGS	williamsfork	39.833889	-106.055833
"USA, CO"	"Blue River at Dillon, CO"	"Blue River at Dillon, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/blue-river-dillon-co	USGS 09047000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09047000&agency_cd=USGS	bluedillon	39.613889	-106.051389
"USA, CO"	"Blue River above Green Mountain Res, CO"	"Blue River above Green Mountain Res, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/blue-river-above-green-mountain-reservoir-co	USGS 09053500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09053500&agency_cd=USGS	bluegreenmtn	39.831944	-106.222222
"USA, CO"	"Colorado River near Kremmling, CO"	"Colorado River near Kremmling, CO"			http://www.treeflow.info/content/colorado-river-near-kremmling-co	USGS 09058000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09058000&agency_cd=USGS	coloradokremmling	40.036667	-106.439444
"USA, CO"	"Roaring Fork River at Glenwood Springs, CO"	"Roaring Fork River at Glenwood Springs, CO"			http://www.treeflow.info/content/roaring-fork-river-glenwood-springs-co	USGS 09085000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09085000&agency_cd=USGS	roaringfork	39.543611	-107.328889
